event_name,calendar_title,catalog_name,start_date,end_date,url,results_year,results_month,edition_ym_candidates,date_precision,date_source,flags,source_fingerprint
Flowstate | West Coast Swing & Zouk Festival,Flowstate | West Coast Swing & Zouk Festival,Flowstate | West Coast Swing & Zouk Festival,2026-11-13,2026-11-15,http://www.Flowstatefest.com,2026,11,2026-11,day,wsdc_calendar,,46ccc909e1caf0069aee734a
DC Swing eXperience (DCSX),DC Swing eXperience (DCSX),DC Swing eXperience (DCSX),2026-11-19,2026-11-22,http://www.dcswingexperience.com,2026,11,2026-11,day,wsdc_calendar,,d77c34c437ac161c6918fbf4
Rocket City Swing,Rocket City Swing,Westies on the Water,2026-11-19,2026-11-22,http://rocketcityswing.com,2026,11,2026-11,day,wsdc_calendar,,6e93d1b373c17f8d46b48af3
The Open Swing Dance Championships,The Open Swing Dance  Championships,US Open Swing Dance Championships,2026-11-25,2026-11-29,http://www.theopenswing.com,2026,11,2026-11,day,wsdc_calendar,,7e1806f78d93719855097003
CASH Bash,CASH Bash,CASH Bash,2026-11-26,2026-11-29,https://cashdanceclub.org/cash-bash/,2026,11,2026-11,day,wsdc_calendar,,39721cb14cb1a28b0cb9930a
The After Party aka TAP,The After Party aka TAP,The After Party aka TAP,2026-12-03,2026-12-07,http://www.tapwcs.com,2026,12,2026-12,day,wsdc_calendar,,97eb135e127073c6daee3b12
Winter White,Winter White,Winter White,2026-12-03,2026-12-06,http://www.winterwhite.no,2026,12,2026-12,day,wsdc_calendar,,0d4c58ceaf835baa2113f218
Berlin Swing Revolution,Berlin Swing Revolution,Berlin Swing Revolution,2026-12-10,2026-12-13,https://berlinswingrevolution.com,2026,12,2026-12,day,wsdc_calendar,,f834b6a8821e2000d3f24be0
Santa Swing,Santa Swing,Santa Swing,2026-12-10,2026-12-14,https://www.santaswing.pl/,2026,12,2026-12,day,wsdc_calendar,,49309596f969680bb9de4375
Soul Flow - West Coast Swing Festival,Soul Flow - West Coast Swing Festival (Hiatus -- 2026),Soul Flow - West Coast Swing Festival,2026-12-11,2026-12-13,https://www.globalgrandprixwcs.com/,2026,12,2026-12,day,wsdc_calendar,hiatus,194c3a0f6c4559a81e3ca255
Swiss Open WCS,Swiss Open WCS,Swiss Open WCS,2026-12-18,2026-12-20,http://www.swissopenwcs.ch,2026,12,2026-12,day,wsdc_calendar,,6d1bab0e81ea38724df4d1e7
UCWDC Country Dance World Championships,UCWDC Country Dance World Championships,UCWDC Country Dance World Championship,2026-12-28,2027-01-03,http://www.ucwdcworlds.com,2027,1,2027-01|2026-12,day,wsdc_calendar,,9a31883cf60e263f75d348e9
Floorplay Swing Vacation,Floorplay Swing Vacation,Floorplay Swing Vacation,2026-12-30,2027-01-03,http://www.floorplayswingvacation.com,2027,1,2027-01|2026-12,day,wsdc_calendar,,3d1a373a646fd7a9259aa177
New Years Swing Fling,New Years Swing Fling,New Years Swing Fling,2026-12-30,2027-01-03,http://nysf.uk,2027,1,2027-01|2026-12,day,wsdc_calendar,,806db9430ca1669dbdd1db68
Spotlight New Year's Celebration,Spotlight New Year's Celebration,Spotlight New Year's Celebration,2026-12-30,2027-01-03,http://www.spotlightnewyears.com,2027,1,2027-01|2026-12,day,wsdc_calendar,,265041bf8f9831e810135cfd
