year,start_date,original_date,event_name,status_event,event_location,country,confirmed,canceled,link,continent,Latitude,Longitude
2024,2024-01-12,"Jan 12 - 14, 2024",Avignon City Swing,Registry Event,"Avignon, France",France,True,False,http://www.avignoncityswing.com,EU,43.9492493,4.8059012
2024,2024-01-18,"Jan 18 - 21, 2024",Derby City Swing,Registry Event,"Louisville, KY",United States,True,False,https://derbycityswing.com/,NA,38.2542376,-85.759407
2024,2024-01-19,"Jan 19 - 21, 2024",Freedom Swing Dance Challenge,Registry Event,"Wilmington, DE",United States,True,False,https://freedomswingdance.com/,NA,39.7459468,-75.546589
2024,2024-01-19,"Jan 19 - 21, 2024",The Australian Classic West Coast Swing Dance Championships,Trial Event,"Gosford, NSW, Australia",Australia,True,False,http://www.dancewcsa.com.au,OC,-33.4250175,151.3417318
2024,2024-01-25,"Jan 25 - 28, 2024",Municorn Swing (On Hiatus),Registry Event,"Munich,Germany",Germany,True,True,https://municornswing.com,EU,48.1371079,11.5753822
2024,2024-01-26,"Jan 26 - 29, 2024",Swing Resolution,Registry Event,"Edinburgh, Scotland",United Kingdom,True,False,http://www.swingresolution.com,EU,55.9533456,-3.1883749
2024,2024-02-01,"Feb 1 - 4, 2024",Charlotte WestieFest,Registry Event,"Charlotte, NC",United States,True,False,https://www.charlottewestiefest.com/,NA,35.2272086,-80.8430827
2024,2024-02-01,"Feb 1 - 4, 2024",Swing & Snow,Registry Event,"Saint Petersburg, Russia",Russian Federation,True,False,http://swingandsnow.ru,EU,59.938732,30.316229
2024,2024-02-02,"Feb 2 - 4, 2024",Paris Swing Classic,Registry Event,"Paris, France",France,True,False,https://www.parisswingclassic.com/,EU,48.8534951,2.3483915
2024,2024-02-08,"Feb 8 - 11, 2024",Swingtzerland,Registry Event,"Zurich, Switzerland",Switzerland,True,False,http://swingtzerland.com/,EU,47.3744489,8.5410422
2024,2024-02-09,"Feb 9 - 12, 2024",WesterOz Swing (On Hiatus),Registry Event,"Perth, Western Australia",Australia,True,True,http://magneticdance.com.au/westeroz,OC,-31.9558933,115.8605855
2024,2024-02-13,"Feb 13 - 18, 2024",Euro Dance Festival,Trial Event,"Rust, Germany",Germany,True,False,https://www.euro-dance-festival.com/rust/,EU,48.2659347,7.7263213
2024,2024-02-16,"Feb 16 - 18, 2024",Swing Crush,Trial Event,"San Antonio, TX.",United States,True,False,https://satxwestiesproductions.com/,NA,29.4246002,-98.4951405
2024,2024-02-16,"Feb 16 - 18, 2024",Valentine Swing,Registry Event,"Uppsala-Stockholm, Sweden",Sweden,True,False,http://Www.valentineswing.dance,EU,59.3522682,18.0405626
2024,2024-02-16,"Feb 16 - 19, 2024",Capital Swing Dancers' President's Day,Registry Event,"Sacramento, CA",United States,False,False,https://www.capitalswingconvention.com/,NA,38.5810606,-121.493895
2024,2024-02-22,"Feb 22 - 25, 2024",Winter Coast Swing,Registry Event,"Leppavirta, Finland",Finland,True,False,http://www.wintercoastswing.com,EU,62.4894313,27.7860813
2024,2024-02-22,"Feb 22 - 25, 2024",Rose City Swing,Registry Event,"Portland, OR",United States,True,False,http://www.rosecityswing.com,NA,45.5202471,-122.674194
2024,2024-02-23,"Feb 23 - 25, 2024",Arousa Westie Fest,Trial Event,"Sanxenxo, Pontevedra, Galicia, Spain",Spain,True,False,http://arousawestiefest.com,EU,42.4003559,-8.8065952
2024,2024-02-29,"Feb 29 - Mar 3, 2024",MADjam (Mid Atlantic Dance Jam),Registry Event,"Washington, DC",United States,True,False,http://www.atlanticdancejam.com,NA,38.8950368,-77.0365427
2024,2024-03-01,"Mar 1 - 3, 2024",Swingvasion,Registry Event,"Wellington, New Zealand",New Zealand,True,False,https://swingcentral.nz/swingvasion,OC,-41.2887953,174.7772114
2024,2024-03-07,"Mar 7 - 10, 2024",West In Lyon,Registry Event,"Dardilly, France",France,False,False,https://www.west-in-lyon.fr/,EU,45.8064992,4.7537701
2024,2024-03-08,"Mar 8 - 10, 2024",High Desert Dance Classic,Registry Event,"Lancaster, CA",United States,True,False,http://www.highdesertdanceclassic.com,NA,34.6981064,-118.1366153
2024,2024-03-08,"Mar 8 - 11, 2024",Swing Escape,Registry Event,Nelson Bay,Australia,False,False,http://www.dancevibe.com.au/swing-escape-2020/,OC,-32.7218138,152.1440889
2024,2024-03-14,"Mar 14 - 17, 2024",All Star SwingJam,Registry Event,"San Rafael, CA",United States,True,False,http://www.allstarswingjam.com,NA,37.9747795,-122.5316686
2024,2024-03-14,"Mar 14 - 17, 2024",The Chicago Classic,Registry Event,"Schaumburg, IL",United States,True,False,http://www.thechicagoclassic.com,NA,42.0333608,-88.083406
2024,2024-03-14,"Mar 14 - 17, 2024",Westie Spring Thing,Registry Event,"Budapest, Hungary",Hungary,False,False,http://www.westiespringthing.com,EU,47.5578918,19.1001609
2024,2024-03-14,"Mar 14 - 17, 2024",Anchor Festival (On Hiatus),Registry Event,"Hamburg, German",Germany,True,True,https://,EU,53.550341,10.000654
2024,2024-03-21,"Mar 21 - 25, 2024",King Swing,Registry Event,"Krakow, Poland",Poland,True,False,http://kingswing.pl/,EU,50.0469432,19.997153435836697
2024,2024-03-21,"Mar 21 - 25, 2024",5280 Westival,Registry Event,"Denver, CO",United States,True,False,https://www.5280westival.com/,NA,39.7392364,-104.984862
2024,2024-03-21,"Mar 21 - 24, 2024",San Diego Dance Festival,Registry Event,"Irvine, CA",United States,True,False,https://sandiegodancefestival.com,NA,33.6856969,-117.8259819
2024,2024-03-21,"Mar 21 - 25, 2024",The Boston Tea Party,Registry Event,"Newton, MA",United States,True,False,http://teapartyswings.com,NA,42.3370414,-71.2092214
2024,2024-03-22,"Mar 22 - 24, 2024",Novice Invitational,Registry Event,"Houston, TX",United States,True,False,http://www.novice-invitational.com,NA,29.7589382,-95.3676974
2024,2024-03-28,"Mar 28 - Apr 1, 2024",Easter Swing,Registry Event,"Seattle, WA",United States,True,False,https://www.easterswing.org/,NA,47.6038321,-122.330062
2024,2024-03-28,"Mar 28 - 31, 2024",By-town Ontario Open ( BTO),Registry Event,"Ottawa, Ontario, Canada",Canada,False,False,http://BTOOpen.ca,NA,45.4208777,-75.6901106
2024,2024-03-29,"Mar 29 - 30, 2024",Tulsa Spring Swing,Registry Event,"Broken Arrow, OK",United States,True,False,https://,NA,36.0525993,-95.7908195
2024,2024-04-04,"Apr 4 - 7, 2024",Dutch Open West Coast Swing 2024,Registry Event,"Venray, Netherlands",Netherlands,True,False,http://dutchopenwcs.com,EU,51.5082754,5.958901096612693
2024,2024-04-11,"Apr 11 - 14, 2024",City of Angels Swing Event,Registry Event,"Los Angeles, CA",United States,True,False,http://www.cityofangelsswing.com,NA,34.0536909,-118.242766
2024,2024-04-11,"Apr 11 - 14, 2024",Calgary Dance Stampede,Registry Event,"Calgary, AB, Canada",Canada,True,False,http://www.calgarydancestampede.com,NA,51.0456064,-114.057541
2024,2024-04-11,"Apr 11 - 13, 2024",Westy Nantes,Registry Event,"Nantes, France",France,True,False,https://www.westynantes.com/,EU,47.2186371,-1.5541362
2024,2024-04-11,"Apr 11 - 14, 2024",UK WCS Champs,Registry Event,"Old Windsor, Berkshire, Engand",United Kingdom,False,False,http://jiveaddiction.com,EU,51.46225,-0.58059
2024,2024-04-11,"Apr 11 - 14, 2024",UK & European Championships,Registry Event,"Old Windsor, England",United Kingdom,False,False,http://www.jiveaddiction.com,EU,51.4581397,-0.5808113
2024,2024-04-12,"Apr 12 - 14, 2024",Korean Open WCS Championsips,Registry Event,"Incheon, South Korea","Korea, Republic of",True,False,https://www.kopenwcs.com/,AS,37.456,126.7052
2024,2024-04-12,"Apr 12 - 14, 2024",Bama Jamma,Trial Event,"Birmingham, Alabama",United States,True,False,http://www.bamajamma.com,NA,33.5206824,-86.8024326
2024,2024-04-18,"Apr 18 - 21, 2024",Ukrainian Open (Cancelled due to War),Registry Event,"Kyiv, Kyivska Ukraine",Ukraine,True,True,http://www.ua-open.com,EU,50.6215011,30.460508167757546
2024,2024-04-18,"Apr 18 - 21, 2024",Asia WCS Open XI,Registry Event,Singapore.,Singapore,True,False,https://www.asiawcsopen.com/,AS,1.357107,103.8194992
2024,2024-04-18,"Apr 18 - 22, 2024",Detonation Dance,Registry Event,"Manchester, UK",United Kingdom,True,False,http://www.DetonationDance.com,EU,53.4794892,-2.2451148
2024,2024-04-18,"Apr 18 - 21, 2024",HONEY FEST,Registry Event,"Ufa, Russia",Russian Federation,True,False,https://honeyfest-ufa.ru/,EU,54.7261409,55.947499
2024,2024-04-18,"Apr 18 - 21, 2024",Swingover,Registry Event,"Orlando, FL",United States,True,False,http://www.swingoverevent.com,NA,28.6021109,-81.3190304
2024,2024-04-18,"Apr 18 - 21, 2024",Swing In Capital,Registry Event,"Roma, Italia",Italy,False,False,http://www.westcoastswingroma.it,EU,41.8933203,12.4829321
2024,2024-04-18,"Apr 18 - 21, 2024",Slovenian Open,Trial Event,"Ljubljana, Slovenia",Slovenia,True,False,https://slovenianopen.dance,EU,46.0500268,14.5069289
2024,2024-04-25,"Apr 25 - 29, 2024",Go West Swing Fest,Registry Event,Western Australia,Australia,False,False,https://,OC,-25.2303005,121.0187246
2024,2024-04-25,"Apr 25 - 28, 2024",Swingin' Into Spring,Registry Event,"Hartford, CT",United States,False,False,http://www.sis.djkenm.com,NA,41.764582,-72.6908547
2024,2024-04-26,"Apr 26 - 28, 2024",SOM - Swing of Music,Trial Event,"Wels, Austria",Austria,True,False,https://,EU,48.2165472,14.0843752
2024,2024-04-26,"Apr 26 - 28, 2024",Nordic WCS Championships,Registry Event,"Upplands Vasby, Stockholm, Sweden",Sweden,False,False,http://Htto://www.nordicwcschamps.com,EU,59.516667,17.916667
2024,2024-05-02,"May 2 - 6, 2024",Swing Dance America (SDA),Registry Event,"Lake Geneva, WI",United States,True,False,https://www.swingdanceamerica.com,NA,42.5916836,-88.4334301
2024,2024-05-03,"May 3 - 5, 2024",KIWI Fest (Cancelled due to War in Ukraine),Registry Event,"Kyiv, Ukraine",Ukraine,True,True,https://kiwifest.info,EU,50.4500336,30.5241361
2024,2024-05-03,"May 3 - 5, 2024",BeeMAD,Trial Event,"Madrid, Spain",Spain,True,False,https://beemadwcs.com/,EU,40.4167047,-3.7035825
2024,2024-05-08,"May 8 - 13, 2024",French Open WCS,Registry Event,"Roissy, France",France,True,False,http://www.fowcs.com,EU,48.7903787,2.6545195
2024,2024-05-09,"May 9 - 12, 2024",Texas Classic,Registry Event,"Austin, TX",United States,False,False,http://Www.thetexasclassic.com,NA,30.3311286,-97.6836995
