dancer_id,role,dance,level,total_points,update_date
18199,Leader,West Coast Swing,Intermediate,21,2024-10-23
18199,Leader,West Coast Swing,Intermediate,33,2024-10-30
18227,Leader,West Coast Swing,Intermediate,4,2024-10-23
18227,Leader,West Coast Swing,Intermediate,5,2024-10-30
18509,Leader,West Coast Swing,All-Star,10,2024-10-23
18509,Leader,West Coast Swing,All-Star,14,2024-10-30
18516,Leader,West Coast Swing,All-Star,127,2024-10-23
18516,Leader,West Coast Swing,All-Star,133,2024-10-30
18531,Follower,West Coast Swing,All-Star,1,2024-10-30
18537,Follower,West Coast Swing,Advanced,42,2024-10-23
18537,Follower,West Coast Swing,Advanced,50,2024-10-30
18537,Follower,West Coast Swing,Sophisticated,10,2024-10-30
18543,Leader,West Coast Swing,Advanced,45,2024-10-23
18543,Leader,West Coast Swing,Advanced,51,2024-10-30
18558,Leader,West Coast Swing,All-Star,25,2024-10-23
18558,Leader,West Coast Swing,All-Star,31,2024-10-30
18560,Leader,West Coast Swing,Intermediate,28,2024-10-23
18560,Leader,West Coast Swing,Intermediate,32,2024-10-30
18569,Leader,West Coast Swing,Advanced,4,2024-10-23
18569,Leader,West Coast Swing,Advanced,5,2024-10-30
18580,Leader,West Coast Swing,Advanced,51,2024-10-23
18580,Leader,West Coast Swing,Advanced,52,2024-10-30
18590,Leader,West Coast Swing,Newcomer,1,2024-10-30
18602,Follower,West Coast Swing,Novice,3,2024-10-23
18602,Follower,West Coast Swing,Novice,5,2024-10-30
18604,Follower,West Coast Swing,Novice,1,2024-10-30
18604,Follower,West Coast Swing,Sophisticated,4,2024-10-30
18647,Follower,West Coast Swing,Advanced,30,2024-10-23
18647,Follower,West Coast Swing,Advanced,31,2024-10-30
18647,Follower,West Coast Swing,Sophisticated,11,2024-10-23
18647,Follower,West Coast Swing,Sophisticated,19,2024-10-30
18652,Leader,West Coast Swing,Intermediate,16,2024-10-23
18652,Leader,West Coast Swing,Intermediate,22,2024-10-30
18652,Leader,West Coast Swing,Sophisticated,1,2024-10-23
18652,Leader,West Coast Swing,Sophisticated,2,2024-10-30
18665,Follower,West Coast Swing,Advanced,56,2024-10-23
18665,Follower,West Coast Swing,Advanced,57,2024-10-30
18678,Leader,West Coast Swing,Advanced,1,2024-10-23
18678,Leader,West Coast Swing,Advanced,2,2024-10-30
18719,Leader,West Coast Swing,Intermediate,23,2024-10-23
18719,Leader,West Coast Swing,Intermediate,33,2024-10-30
18740,Leader,West Coast Swing,Novice,15,2024-10-23
18740,Leader,West Coast Swing,Novice,16,2024-10-30
18760,Leader,West Coast Swing,All-Star,1,2024-10-30
18837,Follower,West Coast Swing,Advanced,7,2024-10-23
18837,Follower,West Coast Swing,Advanced,17,2024-10-30
18846,Leader,West Coast Swing,Novice,15,2024-10-23
18846,Leader,West Coast Swing,Novice,16,2024-10-30
18850,Follower,West Coast Swing,Advanced,4,2024-10-30
18932,Leader,West Coast Swing,All-Star,6,2024-10-23
18932,Leader,West Coast Swing,All-Star,10,2024-10-30
18966,Follower,West Coast Swing,Intermediate,34,2024-10-23
