event_id,canonical_name,url,registry_status,typical_city,typical_state,typical_country,typical_location,first_edition_year,last_edition_year,edition_count,total_result_rows,unique_dancers,upcoming_start_date,upcoming_location,updated_at
59,Swing Fling,http://www.swingfling.com/,Registry Event,,,United States,"Washington, DC., VA, United States",1994,2025,30,2624,1461,2026-08-06,"Washington, DC., VA, United States",2026-06-23 12:49:48.149947+00
192,Swing Generation,,,,,,,2012,2013,2,137,116,,,2026-06-23 12:49:48.149947+00
393,Swing in Bloom,http://www.swinginbloom.ca/,Registry Event,,,Canada,"Ottawa, Ontario, Canada",2026,2026,1,94,81,2027-04-22,"Ottawa, Ontario, Canada",2026-06-23 12:49:48.149947+00
304,Swing In Capital,https://www.westcoastswingroma.it/swing-in-capital/,,,,,,2019,2026,2,169,154,,,2026-06-23 12:49:48.149947+00
262,Swing It Like It's Hot,,,,,,,2016,2018,3,163,129,,,2026-06-23 12:49:48.149947+00
60,Swing Jam,,,,,,,1993,1997,5,67,50,,,2026-06-23 12:49:48.149947+00
95,Swing Niagara Dance Championships,,,,,,,2004,2012,9,558,380,,,2026-06-23 12:49:48.149947+00
464,Swing Open Kazan,,,,,,,2017,2017,1,35,35,,,2026-06-23 12:49:48.149947+00
465,Swing Over Orlando,,,,,,,2016,2018,3,211,148,,,2026-06-23 12:49:48.149947+00
301,Swing Resolution,http://www.swingresolution.com/,Registry Event,,,United Kingdom,"Edinburgh, Scotland, Scotland, United Kingdom",2019,2026,6,484,318,2027-01-21,"Edinburgh, Scotland, Scotland, United Kingdom",2026-06-23 12:49:48.149947+00
466,Swing Trilogy,,,,,,,2014,2017,3,297,239,,,2026-06-23 12:49:48.149947+00
467,Swing&Snow,,,,,,,2022,2022,1,76,76,,,2026-06-23 12:49:48.149947+00
162,Swingapalooza,http://www.swingapaloozaevent.com,,,,,,2010,2026,15,1247,675,,,2026-06-23 12:49:48.149947+00
196,SwingCouver,https://swingco.dance/,Registry Event,,,United States,"Portland, OR, United States",2013,2026,11,1151,703,2027-01-07,"Portland, OR, United States",2026-06-23 12:49:48.149947+00
468,SwingCouver 2020 - The 10th Episode,,,,,,,2020,2020,1,123,120,,,2026-06-23 12:49:48.149947+00
61,SwingDiego,,,,,,,2002,2018,17,1780,991,,,2026-06-23 12:49:48.149947+00
469,SwingDiego (The Superbowl of Swing),,,,,,,2019,2019,1,110,108,,,2026-06-23 12:49:48.149947+00
370,SwingIN Festival,http://www.swinginfestival.de/,Registry Event,,,Germany,"Bonn, NRW, Germany",2025,2026,2,242,182,2027-04-22,"Bonn, NRW, Germany",2026-06-23 12:49:48.149947+00
189,Swingin in the Valley,,,,,,,2012,2012,1,20,20,,,2026-06-23 12:49:48.149947+00
