edition_id,event_id,event_name,event_year,event_month,division,dance,leader_tier,follower_tier,leader_status,follower_status,worst_status,leader_scored,follower_scored,est_min_entries,est_max_entries,both_roles_present,range_conflict
2606,360,SaunaSwing,2026,7,Newcomer,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2606,360,SaunaSwing,2026,7,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2606,360,SaunaSwing,2026,7,Sophisticated,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2650,389,SwingLab Berlin,2026,7,Advanced,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2650,389,SwingLab Berlin,2026,7,All-Star,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
2650,389,SwingLab Berlin,2026,7,Intermediate,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2650,389,SwingLab Berlin,2026,7,Newcomer,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
2650,389,SwingLab Berlin,2026,7,Novice,West Coast Swing,4,5,matched,matched,matched,12,15,120,208,t,f
2650,389,SwingLab Berlin,2026,7,Sophisticated,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2059,225,Wild Wild Westie,2026,7,Advanced,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2059,225,Wild Wild Westie,2026,7,All-Star,West Coast Swing,4,4,matched,matched,matched,11,11,80,158,t,f
2059,225,Wild Wild Westie,2026,7,Champion,West Coast Swing,3,2,matched,matched,matched,9,5,31,58,t,f
2059,225,Wild Wild Westie,2026,7,Intermediate,West Coast Swing,4,5,matched,matched,matched,12,14,120,208,t,f
2059,225,Wild Wild Westie,2026,7,Master,West Coast Swing,2,3,matched,matched,matched,5,9,31,58,t,f
2059,225,Wild Wild Westie,2026,7,Newcomer,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2059,225,Wild Wild Westie,2026,7,Novice,West Coast Swing,5,5,matched,matched,matched,15,15,160,258,t,f
2036,222,Baltic Swing,2026,6,Advanced,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2036,222,Baltic Swing,2026,6,All-Star,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2036,222,Baltic Swing,2026,6,Intermediate,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
2036,222,Baltic Swing,2026,6,Newcomer,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2036,222,Baltic Swing,2026,6,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2036,222,Baltic Swing,2026,6,Sophisticated,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2629,374,Barock Swing Ludwigsburg,2026,6,Advanced,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
2629,374,Barock Swing Ludwigsburg,2026,6,Intermediate,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2629,374,Barock Swing Ludwigsburg,2026,6,Master,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
2629,374,Barock Swing Ludwigsburg,2026,6,Newcomer,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
2629,374,Barock Swing Ludwigsburg,2026,6,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2629,374,Barock Swing Ludwigsburg,2026,6,Sophisticated,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
1111,109,Colorado Country Classic,2026,6,Advanced,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
1111,109,Colorado Country Classic,2026,6,All-Star,West Coast Swing,1,1,ambiguous,matched,ambiguous,2,3,10,20,t,f
1111,109,Colorado Country Classic,2026,6,Intermediate,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
1111,109,Colorado Country Classic,2026,6,Master,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
