dancer_id,role,dance,level,total_points,update_date
1497,Leader,Lindy,Advanced,3,2026-07-20
873,Leader,West Coast Swing,Advanced,60,2026-07-20
873,Leader,West Coast Swing,Intermediate,7,2026-07-20
873,Leader,West Coast Swing,Novice,3,2026-07-20
873,Leader,West Coast Swing,Master,18,2026-07-20
873,Leader,Lindy,Advanced,1,2026-07-20
873,Follower,West Coast Swing,Advanced,8,2026-07-20
875,Leader,West Coast Swing,Advanced,10,2026-07-20
875,Leader,West Coast Swing,Master,10,2026-07-20
875,Leader,West Coast Swing,Professional,55,2026-07-20
877,Leader,West Coast Swing,Intermediate,1,2026-07-20
877,Leader,West Coast Swing,Novice,1,2026-07-20
876,Leader,West Coast Swing,Master,4,2026-07-20
878,Follower,West Coast Swing,Advanced,1,2026-07-20
878,Follower,West Coast Swing,Intermediate,4,2026-07-20
878,Follower,West Coast Swing,Novice,10,2026-07-20
879,Follower,West Coast Swing,Advanced,31,2026-07-20
879,Follower,West Coast Swing,Intermediate,14,2026-07-20
879,Follower,West Coast Swing,Novice,6,2026-07-20
880,Follower,West Coast Swing,Novice,14,2026-07-20
881,Follower,West Coast Swing,Intermediate,11,2026-07-20
881,Follower,West Coast Swing,Novice,3,2026-07-20
882,Follower,West Coast Swing,Champion,6,2026-07-20
882,Follower,West Coast Swing,Advanced,55,2026-07-20
882,Follower,West Coast Swing,Professional,85,2026-07-20
883,Leader,West Coast Swing,Intermediate,4,2026-07-20
885,Leader,West Coast Swing,Novice,9,2026-07-20
885,Leader,West Coast Swing,Newcomer,10,2026-07-20
886,Follower,West Coast Swing,All-Star,1,2026-07-20
886,Follower,West Coast Swing,Advanced,12,2026-07-20
886,Follower,West Coast Swing,Novice,6,2026-07-20
886,Follower,West Coast Swing,Professional,9,2026-07-20
887,Follower,West Coast Swing,Novice,1,2026-07-20
888,Leader,West Coast Swing,Advanced,5,2026-07-20
889,Leader,West Coast Swing,Advanced,7,2026-07-20
889,Leader,West Coast Swing,Professional,29,2026-07-20
890,Leader,West Coast Swing,Advanced,7,2026-07-20
890,Leader,West Coast Swing,Intermediate,14,2026-07-20
891,Leader,West Coast Swing,Intermediate,10,2026-07-20
891,Leader,West Coast Swing,Novice,10,2026-07-20
893,Leader,West Coast Swing,Advanced,10,2026-07-20
893,Leader,West Coast Swing,Professional,7,2026-07-20
896,Leader,West Coast Swing,Novice,2,2026-07-20
899,Follower,West Coast Swing,Intermediate,26,2026-07-20
899,Follower,West Coast Swing,Professional,0,2026-07-20
897,Follower,West Coast Swing,Advanced,51,2026-07-20
897,Follower,West Coast Swing,Professional,10,2026-07-20
898,Follower,West Coast Swing,Newcomer,10,2026-07-20
900,Leader,West Coast Swing,Advanced,1,2026-07-20
900,Leader,West Coast Swing,Intermediate,0,2026-07-20
900,Leader,West Coast Swing,Novice,4,2026-07-20
900,Leader,West Coast Swing,Master,3,2026-07-20
901,Follower,West Coast Swing,Novice,6,2026-07-20
902,Leader,West Coast Swing,Champion,37,2026-07-20
902,Leader,West Coast Swing,Invitational,49,2026-07-20
902,Leader,West Coast Swing,All-Star,23,2026-07-20
902,Leader,West Coast Swing,Advanced,81,2026-07-20
902,Leader,West Coast Swing,Master,165,2026-07-20
902,Leader,West Coast Swing,Sophisticated,2,2026-07-20
902,Leader,West Coast Swing,Professional,32,2026-07-20
903,Leader,West Coast Swing,Advanced,37,2026-07-20
903,Leader,West Coast Swing,Novice,20,2026-07-20
903,Leader,West Coast Swing,Master,76,2026-07-20
906,Follower,West Coast Swing,Professional,11,2026-07-20
905,Leader,West Coast Swing,Master,9,2026-07-20
904,Follower,West Coast Swing,Champion,141,2026-07-20
904,Follower,West Coast Swing,Invitational,57,2026-07-20
904,Follower,West Coast Swing,All-Star,45,2026-07-20
904,Follower,West Coast Swing,Advanced,16,2026-07-20
904,Follower,West Coast Swing,Novice,20,2026-07-20
904,Follower,West Coast Swing,Professional,10,2026-07-20
907,Follower,West Coast Swing,Advanced,49,2026-07-20
907,Follower,West Coast Swing,Novice,6,2026-07-20
907,Follower,West Coast Swing,Professional,3,2026-07-20
908,Leader,West Coast Swing,Advanced,8,2026-07-20
909,Leader,West Coast Swing,Advanced,4,2026-07-20
910,Leader,West Coast Swing,Advanced,7,2026-07-20
911,Follower,West Coast Swing,Novice,6,2026-07-20
912,Leader,West Coast Swing,Master,12,2026-07-20
914,Follower,West Coast Swing,Advanced,3,2026-07-20
913,Follower,West Coast Swing,Novice,4,2026-07-20
915,Follower,West Coast Swing,Advanced,18,2026-07-20
915,Follower,West Coast Swing,Professional,8,2026-07-20
916,Follower,West Coast Swing,Novice,6,2026-07-20
917,Leader,West Coast Swing,Advanced,53,2026-07-20
917,Leader,West Coast Swing,Intermediate,15,2026-07-20
917,Leader,West Coast Swing,Master,61,2026-07-20
918,Leader,West Coast Swing,Advanced,16,2026-07-20
918,Leader,West Coast Swing,Novice,14,2026-07-20
919,Leader,West Coast Swing,Advanced,43,2026-07-20
919,Leader,West Coast Swing,Intermediate,0,2026-07-20
919,Leader,West Coast Swing,Novice,4,2026-07-20
919,Leader,West Coast Swing,Juniors,0,2026-07-20
919,Leader,West Coast Swing,Professional,45,2026-07-20
919,Leader,West Coast Swing,Teacher,6,2026-07-20
922,Follower,West Coast Swing,Advanced,10,2026-07-20
920,Follower,West Coast Swing,Intermediate,5,2026-07-20
920,Follower,West Coast Swing,Novice,4,2026-07-20
920,Follower,West Coast Swing,Master,1,2026-07-20
921,Leader,West Coast Swing,Champion,2,2026-07-20
921,Leader,West Coast Swing,Invitational,6,2026-07-20
921,Leader,West Coast Swing,Professional,36,2026-07-20
923,Leader,West Coast Swing,Novice,10,2026-07-20
923,Leader,West Coast Swing,Master,31,2026-07-20
924,Follower,West Coast Swing,Novice,10,2026-07-20
924,Follower,West Coast Swing,Master,10,2026-07-20
926,Follower,West Coast Swing,Novice,3,2026-07-20
927,Leader,West Coast Swing,Intermediate,3,2026-07-20
927,Leader,West Coast Swing,Novice,1,2026-07-20
930,Follower,West Coast Swing,Advanced,18,2026-07-20
930,Follower,West Coast Swing,Professional,2,2026-07-20
928,Follower,West Coast Swing,Advanced,8,2026-07-20
928,Follower,West Coast Swing,Intermediate,4,2026-07-20
928,Follower,West Coast Swing,Novice,3,2026-07-20
931,Follower,West Coast Swing,Advanced,6,2026-07-20
929,Leader,West Coast Swing,Advanced,14,2026-07-20
932,Leader,West Coast Swing,Advanced,43,2026-07-20
932,Leader,West Coast Swing,Professional,21,2026-07-20
933,Leader,West Coast Swing,Newcomer,6,2026-07-20
934,Follower,West Coast Swing,Juniors,0,2026-07-20
935,Follower,West Coast Swing,Intermediate,1,2026-07-20
935,Follower,West Coast Swing,Novice,6,2026-07-20
935,Follower,West Coast Swing,Master,11,2026-07-20
938,Follower,West Coast Swing,Novice,14,2026-07-20
936,Leader,West Coast Swing,Intermediate,10,2026-07-20
936,Leader,West Coast Swing,Novice,7,2026-07-20
